Columna;Frase
note;გასული წელი gasuli tseli last year
cloze;გასულ წელს
sentence;მე გავემგზავრე იაპონიაში გასულ წელს.
pronuntiation;me gavemgzavre iaponiashi gasul tsels.
translation;I went to Japan last year.
note;გასული თვე gasuli tve last month
cloze;გასულ თვეს
sentence;ისინი წავიდნენ ჩინეთში გასულ თვეს.
pronuntiation;isini tsavidnen chinetshi gasul tves.
translation;They went to China last month.
note;მონახულება monakhuleba to visit
cloze;მოვინახულეთ
sentence;გასულ წელს, ჩვენ მოვინახულეთ ის მუზეუმი.
pronuntiation;gasul tsels, chven movinakhulet is muzeumi.
translation;Last year, we visited that museum.
note;მოგზაურობა mogzauroba to travel
cloze;იმოგზაურა
sentence;მან იმოგზაურა საფრანგეთში გასულ კვირას.
pronuntiation;man imogzaura safrangetshi gasul kviras.
translation;She traveled to France last week.
note;1
cloze;მარტო
sentence;მან მარტო იმოგზაურა აშშ-ში გასულ წელს.
pronuntiation;man marto imogzaura ashsh-shi gasul tsels.
translation;He traveled in the USA alone last year.
note;1
cloze;გუშინ
sentence;გუშინ მან მოინახულა ორი მუზეუმი.
pronuntiation;gushin man moinakhula ori muzeumi.
translation;Yesterday, he visited two museums.
note;1
cloze;საზღვარგარეთ
sentence;მე არასოდეს ვყოფილვარ საზღვარგარეთ.
pronuntiation;me arasodes vkofilvar sazghvargaret.
translation;I have never been abroad.
note;დაგეგმვა dagegmva to plan
cloze;დაგვიგეგმავს
sentence;ჩვენ ჯერ არ დაგვიგეგმავს სად წავიდეთ.
pronuntiation;chven jer ar dagvigegmavs sad tsavidet.
translation;We have not planned where to go yet.
note;გადაწყვეტა gadatskveta to decide
cloze;გადამიწყვეტია
sentence;მე ჯერ არ გადამიწყვეტია სად წავიდე.
pronuntiation;me jer ar gadamitskvetia sad tsavide.
translation;I have not decided where to go yet.
note;შვებულება shvebuleba vacation
cloze;დაუგეგმავს
sentence;მას ჯერ არ დაუგეგმავს მისი შვებულება.
pronuntiation;mas jer ar daugegmavs misi shvebuleba.
translation;He has not planned for his vacation yet.
note;1
cloze;მოგზაურობა
sentence;მას ჯერ არ დაუგეგმავს მისი მოგზაურობა.
pronuntiation;mas jer ar daugegmavs misi mogzauroba.
translation;She has not planned for her trip yet.
note;ქირაობა qiraoba to rent
cloze;დაქირავება
sentence;მე უკვე დავგეგმე მანქანის დაქირავება.
pronuntiation;me ukve davgegme manqanis daqiraveba.
translation;I already planned to rent a car.
note;1
cloze;ტურისტი
sentence;მე ტურისტი ვარ.
pronuntiation;me turisti var.
translation;I am a tourist.
note;1
cloze;ადგილი
sentence;რომელი ადგილი უნდა მოვინახულო?
pronuntiation;romeli adgili unda movinakhulo?
translation;Which places should I visit?
note;არჩევა archeva to choose
cloze;ამოვირჩიო
sentence;რომელი სამოგზაურო პროგრამა უნდა ამოვირჩიო?
pronuntiation;romeli samogzauro programa unda amovirchio?
translation;What travel program should I choose?
note;გამოტოვება gamotoveba to miss (perder)
cloze;გამოტოვო
sentence;შენ არ უნდა გამოტოვო ამ ადგილის მონახულება.
pronuntiation;shen ar unda gamotovo am adgilis monakhuleba.
translation;You should not miss visiting this place.
note;დაწყება datskeba to start
cloze;დავიწყოთ
sentence;როდის დავიწყოთ?
pronuntiation;rodis davitskot?
translation;When should we start?
note;შესვლის საფასური shesvlis safasuri entrance fee
cloze;შესვლის
sentence;რამდენია შესვლის გადასახადი?
pronuntiation;ramdenia shesvlis gadasakhadi?
translation;How much is the entrance fee?
note;1
cloze;სურათი
sentence;ეს სურათი ძალიან ლამაზია.
pronuntiation;es surati dzalian lamazia.
translation;This picture is very beautiful.
note;ფოტოების გადაღება fotoebis gadagheba to take photos
cloze;გადაიღო
sentence;შენ შეგიძლია გადაიღო სურათები აქ.
pronuntiation;shen shegidzlia gadaigho suratebi aq.
translation;You can take photos here.
note;დაშვება dashveba to allow
cloze;გადაღება
sentence;სურათების გადაღება აქ დაშვებული არ არის.
pronuntiation;suratebis gadagheba aq dashvebuli ar aris.
translation;Taking photos here is not allowed.
note;შესვლა shesvla to enter
cloze;შესვლის
sentence;შენ არ გაქვს ამ ადგილზე შესვლის უფლება.
pronuntiation;shen ar gaqvs am adgilze shesvlis ufleba.
translation;You are not allowed to enter this place.
note;შეხება shekheba to touch
cloze;შეეხო
sentence;შენ არ გაქვს უფლება შეეხო ამ სურათებს.
pronuntiation;shen ar gaqvs ufleba sheekho am suratebs.
translation;You are not allowed to touch the pictures.
note;1
cloze;გიდი
sentence;გიდი ტურისტებს სურათების გადაღების უფლებას აძლევს.
pronuntiation;gidi turistebs suratebis gadaghebis uflebas adzlevs.
translation;The guide allows the tourists to take pictures.
note;1
cloze;სასტუმრო
sentence;ჩვენ ძალიან მოგვწონს ეს სასტუმრო.
pronuntiation;chven dzalian mogvtsons es sastumro.
translation;We like this hotel very much.
note;დარჩენა darchena to stay (pasar la noche)
cloze;დარჩენა
sentence;ჩვენ გვინდა აქ დარჩენა ორი ღამით.
pronuntiation;chven givinda aq darchena ori ghamit.
translation;We want to stay here for two nights.
note;დარეგისტრირება daregistrireba check-in
cloze;რეგისტრაციის
sentence;რეგისტრაციის გავლის დრო არის შუადღის 2 საათის შემდეგ.
pronuntiation;registratsiis gavlis dro aris shuadghis 2 saatis shemdeg.
translation;Check-in time is after 2 pm.
note;გასვლა gasvla check-out
cloze;გასვლის
sentence;გასვლის დრო არის შუადღის 2 საათამდე.
pronuntiation;gasvlis dro aris shuadghis 2 saatamde.
translation;Check-out time is before 2 pm.
note;1
cloze;რეგისტრატურა
sentence;რეგისტრატურა ღიაა 24 საათი.
pronuntiation;registratura ghiaa 24 saati.
translation;Reception is open 24 hours.
note;1
cloze;სტუმარი
sentence;ხუთი სტუმარი ელოდება რეგისტრაციას რეგისტრატურასთან.
pronuntiation;khuti stumari elodeba registratsias registraturastan.
translation;Five guests are waiting at the reception to check-in.
note;დაჯავშნა dajavshna to reserve
cloze;დავჯავშნო
sentence;მე მინდა დავჯავშნო ორი ნომერი ოთხი ადამიანისათვის.
pronuntiation;me minda davjavshno ori nomeri otkhi adamianisatvis.
translation;I want to reserve two rooms for four people.
note;ერთ ადგილიანი ნომერი ert adgiliani nomeri a single room
cloze;ადგილიანი
sentence;მე მინდა დავჯავშნო ერთ ადგილიანი ნომერი ერთი ღამით.
pronuntiation;me minda davjavshno ert adgiliani nomeri erti ghamit.
translation;I want to reserve a single room for one night.
note;1
cloze;ადგილიანი
sentence;მე მინდა დავჯავშნო ორ ადგილიანი ნომერი ერთი კვირით.
pronuntiation;me minda davjavshno or adgiliani nomeri erti kvirit.
translation;I want to reserve a double room for one week.
note;1
cloze;დამატებითი საწოლი
sentence;მე მინდა დამატებითი საწოლი ჩემი ქალიშვილისთვის.
pronuntiation;me minda damatebiti satsoli chemi qalishvilistvis.
translation;I want to have an extra bed for my daughter.
note;1
cloze;საერთო
sentence;ეს სასტუმრო გვთავაზობს საერთო ნომრებს.
pronuntiation;es sastumro gvtavazobs saerto nomrebs.
translation;This hotel provides shared rooms.
note;ობიექტი obieqti facility
cloze;ობიექტებია
sentence;სასტუმროში ბევრი ობიექტებია.
pronuntiation;sastumroshi bevri obieqtebia.
translation;There are many facilities in the hotel.
note;1
cloze;ოთახის გასაღები
sentence;შემიძლია დავტოვო ოთახის გასაღები რეგისტრატურასთან?
pronuntiation;shemidzlia davtovo otakhis gasagebi registraturastan?
translation;Can I leave my room key at reception?
note;1
cloze;ბარგი
sentence;შემიძლია აქ დავტოვო ბარგი?
pronuntiation;shemidzlia aq davtovo bargi?
translation;Can I leave my luggage here?
note;1
cloze;ინტერნეტი
sentence;არის სასტუმროში ინტერნეტი?
pronuntiation;ari sastumroshi interneti?
translation;Does the hotel provide Internet?
note;1
cloze;საცურაო აუზი
sentence;ამ სასტუმროს არ აქვს საცურაო აუზი.
pronuntiation;am sastumros ar aqvs satsurao auzi.
translation;This hotel does not have a swimming pool.
note;1
cloze;საავარიო გასასვლელი
sentence;საავარიო გასასვლელი არის აქ.
pronuntiation;saavario gasasvleli aris aq.
translation;The emergency exit is here.
note;1
cloze;დამლაგებელი
sentence;ეს დამლაგებელი აქ მუშაობს.
pronuntiation;es damlagebeli aq mushaobs.
translation;This maid is working here.
note;დასვენება dasveneba to rest
cloze;დავისვენო
sentence;მე მინდა დავისვენო ჩემს ოთახში.
pronuntiation;me minda davisveno chems otakhshi.
translation;I want to rest in my room.
note;გასუფთავება gasuftaveba to clean
cloze;ასუფთავებს
sentence;დამლაგებელი ასუფთავებს ოთახს.
pronuntiation;damlagebeli asuftavebs otakhs.
translation;A maid cleans the room.
note;კორიდორი koridori the lobby
cloze;კორიდორ
sentence;შენი ბარგი კორიდორშია.
pronuntiation;sheni bargi koridorshia.
translation;Your luggage is in the lobby.
note;1
cloze;პასპორტი
sentence;გთხოვთ მაჩვენოთ თქვენი პასპორტი.
pronuntiation;gtkhovt machvenot tqveni pasporti.
translation;Please show your passport.
note;1
cloze;ვიზა
sentence;გთხოვთ მაჩვენოთ თქვენი ვიზა.
pronuntiation;gtkhovt machvenot tqveni viza.
translation;Please show your visa.
note;1
cloze;პირადობის მოწმობა
sentence;გთხოვთ მაჩვენოთ თქვენი პირადობის მოწმობა.
pronuntiation;gtkhovt machvenot tqveni piradobis motsmoba.
translation;Please show your personal ID card.
note;დადება dadeba to put
cloze;დებს
sentence;ის მაგიდაზე დებს მის ჩანთას.
pronuntiation;is magidaze debs mis chantas.
translation;He puts his bag on the table.
note;1
cloze;ბარგი
sentence;გთხოვთ დადეთ თქვენი ბარგი აქ.
pronuntiation;gtkhovt dadet tqveni bargi aq.
translation;Please put your luggage here.
note;დადება dadeba to lay
cloze;დებს
sentence;ის მაგიდაზე დებს თავის პასპორტს.
pronuntiation;is magidaze debs tavis pasports.
translation;She lays her passport on the table.
note;ბარგის კონვეიერი bargis konveieri conveyor belt
cloze;ბარგის კონვეიერზე
sentence;ის დებს მის ჩანთას ბარგის კონვეიერზე.
pronuntiation;is debs mis chantas bargis konveierze.
translation;He lays his bag on the conveyor belt.
note;გახდა gakhda to take off
cloze;ვიხდი
sentence;მე ვიხდი ჩემს ტყავის ფეხსაცმელებს.
pronuntiation;me vikhdi chems tkavis fekhsatsmelebs.
translation;I take off my leather shoes.
note;ჩადება chadeba to put
cloze;დებს
sentence;ის დებს თავის წიგნებს მის ბარგში.
pronuntiation;is debs tavis tsignebs mis bargshi.
translation;She puts her books in her luggage.
note;1
cloze;კალათა kalata basket
sentence;მათ ჩადეს შენი საათი კალათაში.
pronuntiation;mat chades sheni saati kalatashi.
translation;They put your watch in the basket.
note;1
